Product,Brand,Ingredients,Price
Aqua Réotier Water Gel Cleanser,L'Occitane,"Aqua/Water, Glycerin, Sodium Laureth Sulfate, Coco-Glucoside, Coco-Betaine, Sucrose Cocoate, Polyglyceryl-4 Caprate, Peg-120 Methyl Glucose Trioleate, Phenoxyethanol, Glyceryl Oleate, Sodium Chloride, Citric Acid, Ethylhexylglycerin, Sodium Benzoate, Propanediol, Hydrogenated Palm Glycerides Citrate Lecithin, Ascorbyl Palmitate, Tocopherol, Parfum/Fragrance, Linalool.",24.00
CannaCell X.Foliate Scrub,Andalou Naturals,"Aloe Barbadensis Leaf Juice*, Purified Water (Aqua), Xanthan Gum, Hydrogenated Jojoba Esters, Panthenol, Sorbitan Oleate Decylglucoside, Allantoin, Cannabis Sativa (Hemp) Seed Oil*, Magnesium Ascorbyl Phosphate (Vitamin C), Cannabis Sativa (Hemp) Cell Culture Extract, Resveratrol, Chlorophyll, Tocopherol, Phenoxyethanol, Ethylhexylglycerin, Citrus Tangerina (Tangerine) Peel Oil*, Citrus Aurantium (Petitgrain) Flower Oil*, Anthemis Nobilis (Roman Chamomile) Flower Oil, Limonene**.*Certified Organic Ingredient **Component of Essential Oil",14.99
Cleansing Oil-to-Milk,L'Occitane,"Helianthus Annuus (Sunflower) Seed Oil, Peg-40 Sorbitan Peroleate, Isopropyl Isostearate, Caprylic/Capric Triglyceride Coco-Caprylate/Caprate, Parfum/Fragrance, Helichrysum Italicum Extract, Calendula Officinalis Flower Extract, Prunus Armeniaca (Apricot) Kernel Oil, Hippophae Rhamnoides Fruit Oil, Tocopherol.",24.00
Thermal Spring Water,La Roche-Posay,Aqua/Water.,12.99
Byron 2-in-1 Mask + Scrub,Dr Roebuck's,"Water, Glycerin, Cetearyl Alcohol, PEG-20 Stearate, Jojoba Esters, Macadamia Ternifolia Seed Oil, Kaolin, Glyceryl Caprylate, Tocopheryl Acetate, Camellia Sinensis Leaf Extract, Mentha Piperita (Peppermint) Oil, Citrus Grandis (Grapefruit) Peel Oil.",30.00
Mineral Radiance Cleansing Gel,Ahava,"Aqua (Mineral Spring Water), Disodium Laureth Sulfosuccinate, Sodium Lauryl Sulfoacetate, Cocamidopropyl Betaine, Glycerin, Decyl Glucoside, Aloe Barbadensis Leaf Juice, Sodium Lauroyl Sarcosinate, Phenoxyethanol, Caprylyl Glycol, Allantoin, Chlorphenesin, Parfum (Fragrance), Olea Europaea (Olive)Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Extract, Biosaccharide Gum-4, PEG-150 Pentaerythrityl Tetrastearate, PEG-6 Caprylic/Capric glycerides, Maris Aqua (Dead Sea Water), 1,2 Hexanediol, Red 40 (CL 16035).",26.00
Toning Mist: Balance + Prime,Follain,"Water/Aqua/Eau, Aloe Barbadensis Leaf Juice, 1,2-Hexanediol, Pentylene Glycol, Rosa Damascena Flower Water, Chamomilla Recutita (Matricaria) Flower Extract, Rosa Canina Fruit Extract, Moringa Oleifera Leaf Extract, Ubiquinone (CoQ10), Cryptomeria Japonica Branch/Leaf Extract, Macrocystis Pyrifera (Kelp) Extract, Glycerin, Citrus Limon (Lemon) Peel Extract, Butylene Glycol, Galactoarabinan, Sodium PCA, Tetrasodium Glutamate Diacetate, Sodium Benzoate, Xanthan Gum, Potassium Sorbate, Citric Acid.",18.00
Malibu Blush Exfoliating Scrub,Clarisma,"Water (Aqua), Coco-Glucoside, Cocamidopropyl Hydroxysultaine, Glycerin, Luffa Cylindrica Fruit Powder (Luffa Fruit), Acrylates Copolymer, Citrus Paradisi (Grapefruit) Peel Oil, Papain, Bromelain, Lonicera Japonica Flower Extract (Honeysuckle), Melia Azadirachta Seed Oil (Persian Lilac), Glyceryl Oleate, Sodium Lauroyl Sarcosinate, Glycol Distearate, Copaifera Officinalis (Balsam Copaiba) Resin, Propanediol, Phytic Acid, Lonicera Caprifolium Flower Extract, Maltodextrin, Olea Europaea (Olive) Leaf Extract, Tocopherol, Avena Sativa (Oat) Extract, Microcitrus Australasica Fruit Extract (Australian Finger Lime), Hydrolyzed Jojoba Esters, Phenylpropanol, Xantham Gum, Euterpe Oleracea Fruit Oil (Acai Palm), Caprylyl Glycol, Sodium Hydroxide, Titanium Dioxide, Mica, Carapa Guaianensis Seed Oil, Hydrogenated Polyisobutene, Palmatic Acid, Sodium Metabisulfite, Triethoxycaprylylsilane, Red 28 Lake, Red 40 Lake, Iron Oxides (Ci 77491), Epilobium Angustifolium Flower/Leaf/Stem Extract (Willowherb).",8.99
Travel Size SkinActive Facial Mist Spray with Rose Water,Garnier,"Aqua/Water, Glycerin, Alcohol Denat., Rosa Damascena Flower Water, Sodium Hydroxide, Sodium Phytate, Arginine, Propanediol, Caprylyl/Capryl Glucoside, Citric Acid, Salicylic Acid, Linalool, Parfum/Fragrance.",3.99
Clean It Zero Pore Clarifying Toner Pads,Banila Co,"Water, Propanediol, Alcohol Denat., Lactic Acid, 1,2-Hexanediol, Tromethamine, Houttuynia Cordata Extract, Hydroxyacetophenone, C12-14 Pareth-12, Butylene Glycol, Ethylhexylglycerin, Glycerin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Disodium EDTA, Aloe Barbadensis Leaf Extract, Dioscorea Japonica Root Extract, Hibiscus Esculentus Fruit Extract, Malva Sylvestris (Mallow) Extract, Sea Water, Capryloyl Salicylic Acid, Portulaca Oleracea Extract, Salicylic Acid, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Alanine, Threonine, Glycine, Glutamic Acid, Serine, PCA.",24.00
Refreshing Face Wash,Alpha Skin Care,"Water, Decyl Glucoside, Cocamidopropyl Betaine, PEG-200 Hydrogenated Glyceryl Palmate, Glycerin, Sodium Cocoyl Isethionate, PEG-3 Distearate, Sodium Laureth Sulfate, PEG-7 Glyceryl Cocoate, Citric Acid, Propylene Glycol, Diazolidinyl Urea, Idopropyny Butylcarbamate, Sodium Chloride.",8.99
It's The Buzz Skin-Smoothing Facial Polish,Formula 10.0.6,"Water, Helianthus Annuus (Sunflower) Seed Oil, Stearic Acid, Glycerin, Cetearyl Alcohol, Perlite, Cetyl Alcohol, Helianthus Annuus (Sunflower) Seed Wax, Cannabis Sativa (Hemp) Seed Oil, Glyceryl Stearate Se, Peg-40 Stearate, Hydrogenated Vegetable Oil, Coffea Arabica (Coffee) Seed Powder, Coffea Arabica (Coffee) Seed Oil, Xanthan Gum, Phenoxyethanol, Decyl Glucoside, Caprylyl Glycol, Tocopherol, Fragrance, Sodium Hydroxide, Disodium Edta, R02-19.",7.99
Shiso Astringent Toner,THANN,"Aqua (Water), Butylene Glycol, Propanediol (Corn derived), Glycerin, Polysorbate 20 (Palm kernel derived), Chlorphenesin, Sodium Citrate, Benzyl Alcohol, Disodium EDTA, Rosa Damascena (Rose) Flower Water, Hydrogenated Starch Hydrolysate, Citric Acid, Parfum (Fragrance), Hamamelis Virginiana (Witch Hazel) Leaf Extract, Hexyl Cinnamal, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Perilla Ocymoides (Shiso) Leaf Extract, Butylphenyl Methylpropional, Linalool, Citronellol, Yeast Extract, Geraniol, Camellia Sinensis (Green Tea) Leaf Extract, Aphanizomenon Flos-Aquae (Algae) Extract, Cynara Scolymus (Artichoke) Leaf Extract, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Sorbic Acid, Sodium Bicarbonate, Perilla Ocymoides (Shiso) Seed Extract, Cellulose Gum, Platinum Powder.",34.00
Travel Size Gentle Skin Cleanser,Cetaphil,"Water, Cetyl Alcohol, Propylene Glycol, Sodium Lauryl Sulfate, Stearyl Alcohol, Methylparaben, Propylparaben, Butylparaben.",3.49
Matcha + Chia Cleansing Cream,Kitao,"Water, Squalane, Butylene Glycol, Glycerin, Cetearyl Alcohol, Glyceryl Stearate SE, Oleyl Alcohol,Sodium Laureth-4 Phosphate, Dimethicone, Behenyl Alcohol, Petrolatum,(Euterpe Oleracea/Euterpe Precatoria/Theobroma Grandiflorum) Fruit Extract, Salvia Hispanica Seed Oil, Chenopodium Quinoa Seed Extract, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf Extract, Myrciaria Dubia Fruit Extract, Magnesium Ascorbyl Phosphate, Theobroma Cacao (Cocoa) Seed Butter, Rosa Roxburghii Fruit Extract, Oryza Sativa (Rice) Lees Extract, Sodium Hyaluronate, Hydrolyzed Collagen, Sodium Lauroyl Lactylate,  Ceramide NP, Ceramide APCeramide EOP,Rice Ferment Filtrate (Sake), Iris Florentina Root Extract,1,2-Hexanediol,Caprylyl Glycol, Polysorbate 60,Carbomer, Potassium Hydroxide, Hydroxypropyl Methylcellulose,Algin,Tocopherol, Hydrolyzed Collagen, Sodium Citrate,Citric Acid, Alcohol Propanediol, Zinc Sulfate, Retinyl Palmitate, Phytosphingosine, Cholesterol,Xanthan Gum, Phenoxyethanol, Fragrance.",25.00
NUDESKIN Citrus Clean Balm & Make-Up Melt,NUDESTIX,"Isodecyl Neopentanoate, Isononyl Isononanoate, Peg-10 Isostearate, Peg-20 Glyceryl Triisostearate, Silica Dimethyl Silylate, Synthetic Wax, Trihydroxystearin, Sorbitan Olivate, Litsea Cubeba Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Oil, Dehydroacetic Acid, Canarium Luzonicum Gum Nonvolatiles, Rosmarinus Officinalis (Rosemary) Leaf Oil, Eucalyptus Globulus Leaf Oil, Anthemis Nobilis Flower Oil, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Acacia Senegal Gum, Curcuma Longa (Turmeric) Root Extract, Maltodextrin, Water (Aqua), Rosa Canina Fruit Oil, Butylene Glycol, Salvia Hispanica Seed Extract, Pyrus Malus (Apple) Fruit Extract, Citral*, Limonene*, Linalool*, Citronellol*, Geraniol*, *Naturally Occurring In Essential Oils Listed, *Naturellement Présent Dans Les Huiles Essentielles Répertoriées.",34.00
Labotica Hinoki Cypress Brightening Cleansing Foam,Leaders,"Water, Stearic Acid, Glycerin, Lauric Acid, Myristic Acid, Potassium Hydroxide, Cocamidopropyl Betaine, Sorbitan Olivate, Glycol Distearate, Peg-100 Stearate, Glyceryl Stearate, Sorbitan Sesquioleate, Sodium Chloride, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Caprylyl Glycol, Allantoin, Tetrasodium EDTA, Sodium Hyaluronate, Chamaecyparis Obtusa Leaf Extract, Daucus Carota Sativa (Carrot) Root Extra, Cucurbita Pepo (Pumpkin) Fruit Extract, Chlorphenesin, Potassium Sorbate, Fragrance",10.00
FLASH & GLOW Resurfacing Peel Pads,DERMAFLASH,"Aqua/Water/Eau, Hamamelis Virginiana (Witch Hazel) Water, Glycolic Acid, Salicylic Acid, Ammonium Hydroxide, Polysorbate 20, Camellia Sinensis Leaf Extract, Zinc PCA, Disodium EDTA, Sodium Benzoate, Imidazolidinyl Urea.",36.00
Pure Sugar Smooth and Glow Grapeseed Lip Scrub,L'Oréal,"Sucrose, Ethylhexyl Palmitate, Peg-7 Glyceryl Cocoate, Stearalkonium Hectorite, Propylene Carbonate, Silica, Rosmarinus Officinalis (Rosemary) Extract, Sorbitan Oleate, Saccharide Hydrolysate, Glycerin, Gardenia Taitensis Flower, Euterpe Oleracea Pulp Powder, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Vitis Vinifera Seed Oil/Grape Seed Oil, Cocos Nucifera Oil/Coconut Oil, Propylene Glycol, Capsicum Annuum Extract/Capsicum Annuum Fruit Extract, Polysorbate 80, Tocopherol, Ci 61565/Green 6, Caramel, Linalool, Limonene, Citral, Parfum/Fragrance.",6.99
Skin Balancing Micellar Cleansing Cloths,Neutrogena,"Active: Polyethylene Glycol 400 1%. Inactive: Ascorbic Acid, Boric Acid, Dextrose, Glycerin, Glycine, Hypromellose, Magnesium Chloride, Polyquaternium-42, Potassium Chloride, Purified Water, Sodium Borate, Sodium Chloride, Sodium Citrate, Sodium Lactate, Sodium Phosphate Dibasic.",8.99
Hi Bye Clean Up Mud to Foam Cleanser,Banila Co,"Water, Kaolin, Titanium Dioxide (CI 77891), Lauric Acid, Butylene Glycol, Bentonite, Palmitic Acid, PEG-32, Potassium Hydroxide, Stearic Acid, Glycerin, Polysorbate 60, Silica, Glyceryl Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, PEG-100 Stearate, Cellulose Gum, Xanthan Gum, Chlorphenesin, Phenoxyethanol, Tetrasodium Pyrophosphate, Ethylhexylglycerin, Caprylyl Glycol, Myristic Acid, Fragrance, Capric Acid, Arachidic Acid, Disodium EDTA, Sea Silt, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Camellia Sinensis Leaf Extract, Magnesium Aluminum Silicate, Mentha Piperita (Peppermint) Leaf Extract, Alcohol, Mica (CI 77019), Montmorillonite.",14.00
Travel Size Purity Made Simple Micellar Cleansing Water,Philosophy,"Aqua/Water/Eau, Poloxamer 184, Phenoxyethanol, PPG-1-PEG-9 Lauryl Glycol Ether, Sodium PCA, Disodium Lauroamphodiacetate, Sodium Trideceth Sulfate, Chlorphenesin, Tetrasodium Edta, Hexylene Glycol, Citric Acid, Sodium Chloride, Panthenol, Isopropyl Alcohol, BHT, Pantolactone.",12.00
Watermelon Super Fresh Facial Cleanser,Yes to,"Water (Aqua), Cocamidopropyl Hydroxysultaine, Aloe Barbadensis Leaf Juice, Sodium Cocoyl Glutamate, Citric Acid, Sodium Chloride, Citrullus Lanatus (Watermelon) Fruit Extract, Solanum Lycopersicum (Tomato) Fruit Extract, Sodium Ascorbyl Phosphate*, Sodium Hyaluronate, Sodium Gluconate, Glycerin, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Fragrance (Parfum). *Vitamin C",8.99
NUDESKIN 5% Citrus Fruit & Glycolic Glow Toner,NUDESTIX,"Water (Aqua), Propanediol, Dipropylene Glycol, Glycolic Acid, Sodium Citrate, 1,2-Hexanediol, Polyglyceryl-4 Caprate, Glycerin, Butylene Glycol, Tricholoma Matsutake Extract, Ethylhexylglycerin, Citrus Limon (Lemon) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Hydrolyzed Cicer Seed Extract, Pyrus Malus (Apple) Fruit Extract, Rhododendron Chrysanthum Leaf Extract, Vitis Vinifera (Grape) Fruit Extract, Trisodium Ethylenediamine Disuccinate, Citrus Paradisi (Grapefruit) Peel Oil, Sodium Hyaluronate, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Litsea Cubeba Fruit Oil, Lavandula Hybrida Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cymbopogon Citratus Leaf Oil, Pelargonium Graveolens Flower Oil, Eucalyptus Globulus Leaf Oil, Citrus Limon (Lemon) Peel Oil, Cymbopogon Nardus (Citronella) Oil, Mentha Piperita (Peppermint) Oil, Pogostemon Cablin Oil, Citrus Reticulata (Tangerine) Peel Oil, Tocopherol, *Citral, *Limonene. *Naturally Occurring In Essential Oils Listed, *Naturellement Présent Dans Les Huiles Essentielles Répertoriées.",28.00
Skin Balancing Milky Cleanser,Neutrogena,"Water, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Gluconolactone, Glyceryl Stearate, PEG-100 Stearate, Sorbitol, Sodium Acrylates Copolymer, Carbomer, Sodium Hydroxide, PEG-40 Hydrogenated Castor Oil, Persea Gratissima (Avocado) Oil, Caprylyl Glycol, Fragrance, Lecithin, Sodium Citrate, p-Anisic Acid, Chlorphenesin, Allantoin",10.99
Cucumbers Calming Toner,Yes to,"Water (Aqua), Glycerin, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Juice Powder, Maltodextrin, Citric Acid, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol, Ethylhexylglycerin, Fragrance (Parfum).",9.99
Energizing Facial Scrub,YourGoodSkin,"Water/Aqua, Glycerin, Dimethicone, Cetearyl alcohol, Caprylic/capric triglyceride, C12-15 alkyl benzoate, Hydrated silica, Glyceryl stearate, Polyacrylamide, PEG-100 stearate, C13-14 isoparaffin, Betaine, Phenoxyethanol, Caprylyl glycol, Panthenol, Laureth-7, Xanthan gum, Sodium benzoate, Ascorbyl glucoside, Ethylhexylglycerin, Bisabolol, Tetrasodium EDTA, Citric acid, Potassium hydroxide, Camellia sinensis leaf extract.",8.49
Don't Miss A Spot Fresh Honey Cleansing Foam,Hey Honey,"Aqua (Water), Sodium Laurylglucosides Hydroxypropylsulfonate, Coco-Betaine, Cocamidopropyl Betaine, Honey Extract, Glyceryl Oleate, Quillaja Saponaria Wood Extract, Coco-Glucoside, Undecylenoyl Glycine, Lavandula Angustifolia (Lavender) Oil, Commiphora Myrrha (Myrrh) Resin Extract, Elettaria Cardamomum Seed Extract, PPG-1-PEG-9 Lauryl Glycol Ether, Phenoxyethanol, Sodium Chloride, Sodium Hydroxide, Benzoic Acid, Sodium Phytate, Glycerin, Dehydroacetic Acid, Citric Acid, Eucalyptus Globulus Leaf Oil, Cinnamomum Camphora Bark Oil, Cymbopogon Martini Oil, Salvia Sclarea (Clary) Oil, Juniperus Virginiana Wood Oil, Lavandula Hybrida Oil, Citrus Limon (Lemon) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil.",28.00
Hi Bye Clean Up Toner,Banila Co,"Water, Butylene Glycol, Glycerin, Betaine, Glycereth-26, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Chlorphenesin, Ethylhexylglycerin, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Disodium EDTA, Alcohol, Fragrance, Polyglutamic Acid, Sodium Hyaluronate, Camellia Sinensis Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Mentha Piperita (Peppermint) Leaf Extract, Magnesium Aluminum Silicate, Kaolin, Mica (CI 77019), Montmorillonite.",16.00
Refreshing Foaming Wash,YourGoodSkin,"Aqua (Water), Glycerin, Cocamidopropyl Betaine, Lauryl Glucoside, Disodium Laureth Sulfosuccinate, Sodium Cocoamphoacetate, Sodium Chloride, Coco-Glucoside, Glyceryl Oleate, Citric Acid, Phenoxyethanol, PEG-40 Hydrogenated Castor Oil, Betaine, Panthenol, Sodium Benzoate, PEG-200 Hydrogenated Glyceryl Palmate, Ascorbyl Glucoside, Tetrasodium EDTA, PEG-7 Glyceryl Cocoate, Glyceryl Laurate, Bisabolol, Potassium Hydroxide, Camellia Sinensis Leaf Extract, Lecithin, Ascorbyl Palmitate, Tocopherol, Hydrogenated Palm Glycerides Citrate.",7.49
Labotica Aqua Tree Charcoal Pore Deep Cleansing Foam,Leaders,"Water, Stearic Acid, Glycerin, Lauric Acid, Myristic Acid, Potassium Hydroxide, Cocamidopropyl Betaine, Sorbitan Olivate, Glycol Distearate, Peg-100 Stearate, Glyceryl Stearate, Sorbitan Sesquioleate, Microcrystalline Cellulose, Sodium Chloride, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Caprylyl Glycol, Mannitol, Allantoin, Tetrasodium EDTA, Zea Mays (Corn) Starch, Hydrogenated Lecithin, Hydroxypropyl Starch Phosphate, Sodium Hyaluronate, Daucus Carota Sativa (Carrot) Root Extra, Cucurbita Pepo (Pumpkin) Fruit Extract, Chlorphenesin, Potassium Sorbate, Charcoal Powder, Fragrance.",10.00
Vitamin C Cleanser,Ofra Cosmetics,"Deionized Water, Decyl Glucoside, Sodium Laureth Sulfate, Penthenol, Cocoamidopropyl Betaine, Propylene Glycol (And) Diazolidinyl Urea (And) Phenoxyethanol (And) Ethylhexyglycerin, Fragrance, Citric Acid, Octylmethyl Cyclopentasiloxane, FD & C Color.",22.00
Cool Ocean Breeze Daily Cleanser,Clarisma,"Water (Aqua), Decyl Glucoside, Cocamidopropyl Hydroxysultaine, Caprylyl/Capryl Glucoside, Glycerin, Acrylates Copolymer, Papain, Bromelain, Melia Azadirachta Seed Oil (Persian Lilac), Microcitrus Australis Fruit Extract (Caviar Lime), Glyceryl Oleate, Microcitrus Australasica Fruit Extract (Desert Lime), Copaifera Officinalis (Balsam Copaiba) Resin, Epilobium Angustifolium Flower/Leaf/Stem Extract (Willowherb), Propanediol, Carapa Guaianensis Seed Oil, Hydrolyzed Jojoba Esters, Coco-Glucoside, Euterpe Oleracea Fruit Oil (Acai Palm), Citrus Glauca Fruit Extract, Carapa Guaianensis Seed Oil, Glyceryl Oleate, Hydrolyzed Rice Protein, Sodium Lauroyl Sarcosinate, Maltodextrin, Caprylyl Glycol, Citrus Aurantium Bergamia Fruit Oil (Bergamot), Disodium Cocoyl Glutamate, Xantham Gum, Calcium Sodium Borosilicate, Sodium Hydroxide, Tocopherol, Titanium Dioxide, Sodium Cocoyl Glutamate, Silica, Phenylpropanol, Citrus Paradisi (Grapefruit) Peel Oil.",12.99
Hydrating Cleanser: Purify + Nourish,Follain,"Water/Aqua/Eau, Glycerin, Potassium Cocoyl Glycinate, Glyceryl Caprylate/Caprate, Decyl Glucoside, Potassium Cocoate, 1,2-Hexanediol, Salix Nigra (Willow) Bark Extract, Rosa Canina Fruit Oil, Camellia Sinensis Leaf Extract, Moringa Oleifera Leaf Extract, Macrocystis Pyrifera (Kelp) Extract, Citrus Reticulata (Tangerine) Peel Oil, Citrus Paradisi (Grapefruit) Peel Oil, Citric Acid, Glyceryl Caprylate, Xanthan Gum, Ethylhexylglycerin, Sodium Gluconate, Cocamide MIPA, Caprylhydroxamic Acid, Citrus Limon (Lemon) Peel Extract, Potassium Sorbate, Sodium Benzoate.",22.00
Crystal-Infused Elixir Mist Aquamarine + Hydrating,COVER FX,"Water/Aqua/Eau, Butylene Glycol, Ppg-5-Ceteth-20, Glycerin, Pyrus Malus (Apple) Fruit Extract, Cocos Nucifera (Coconut) Water, Phenoxyethanol, Disodium Edta, Ethylhexylglycerin, Panthenol, Sodium Ascorbyl Phosphate, Hydrolyzed Collagen, Citrus Aurantium Dulcis (Orange) Peel Oil, Aloe Barbadensis Extract, Maltodextrin, Lavandula Angustifolia (Lavender) Oil, Tocopheryl Acetate, Sodium Hyaluronate, Citrus Aurantium Amara (Bitter Orange) Leaf Oil, Citrus Paradisi (Grapefruit) Peel Oil, Citrus Tangerina (Tangerine) Peel Oil, Mentha Viridis (Spearmint) Leaf Oil, Zingiber Officinale (Ginger) Root Oil, Aquamarine Extract, Xanthan Gum, Citrus Aurantium Amara (Bitterorange) Flower Oil, Limonene, Linalool.",20.00
Travel Size Cleanser,EVE LOM,"Paraffinum Liquidum, Peg-30 Lanolin, Cetearyl Alcohol, Bis-Diglyceryl Polyacyladipate-2, Aluminum Stearate, Theobroma Cacao (Cocoa) Seed Butter, Peg-75 Lanolin, Phenoxyethanol, Chamomilla Recutita (Matricaria) Flower Oil, Eucalyptus Globulus Leaf Oil, Eugenia Caryophyllus (Clove) Leaf Oil, Humulus Lupulus (Hops) Cone Oil, Bht, Eugenol, Limonene.",50.00
Gel Cleanser,Milk + Honey,"Organic Aloe barbadensis (Aloe) Leaf Juice, Sodium Cocoyl (Apple) Amino Acids, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate, Chondrus crispus (Irish Moss), Organic Vegetable Glycerin, Caprylyl/Capryl Glucoside, Opuntia Tuna (Prickly Pear) Flower/Stem Extract, Sodium Chloride, Potassium Oleate, Potassium Cocoate, Lauryl Betaine, Glycerin, Benzyl Alcohol, Potassium Citrate, Potassium Palm Kernelate, Decyl Glucoside, Palm Kernel Acid, Organic Citrus limonum (Lemon) Peel Oil, Organic Citrus paradisi (Grapefruit) Oil, Organic Citrus reticulata (Mandarin Orange) Oil, Organic Brachylaena hutchinsii (Muhuhu) Oil, Citrus sinensis (Sweet Orange) Peel Oil, Phenethyl Alcohol, Pentylene Glycol, Propanediol, Lecithin, Citric Acid, Sclerotium Gum, Acacia Senegal Gum, Xanthan Gum, Pullulan, Potassium Sorbate.",36.00
Crystal-Infused Elixir Mist Rose Quartz + Defense,COVER FX,"Water/Aqua/Eau, Butylene Glycol, Ppg-5-Ceteth-20, Glycerin, Pyrus Malus (Apple) Fruit Extract, Phenoxyethanol, Rosa Damascena Flower Water, Disodium Edta, Ethylhexylglycerin, Panthenol, Sodium Ascorbyl Phosphate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Aloe Barbadensis Extract, Maltodextrin, Citrus Limon (Lemon) Peel Oil, Tocopheryl Acetate, Sodium Hyaluronate, Scenedesmus Rubescens Extract, Plankton Extract, Alteromonas Ferment Extract, Cananga Odorata Flower Oil, Elettaria Cardamomum Seed Oil, Lavandula Angustifolia (Lavender) Oil, Pelargonium Graveolens Oil, Rosa Damascena Flower Extract, Zingiber Officinale (Ginger) Root Oil, Arginine Ferulate, Quartz Powder, Xanthan Gum, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Ferula Galbaniflua (Galbanum) Resin Oil, Jasminum Officinale (Jasmine) Oil, Nigella Sativa Seed Oil, Pogostemon Cablin Oil, Salvia Sclarea (Clary) Oil, Thymus Vulgaris (Thyme) Flower/Leaf Oil, Limonene, Linalool.",20.00
Travel Size Sea Foam Complete Face Wash,Pacifica,"Purified Water, Cocomidopropyl Betaine (Coconut Source), Sodium Cocoyl Glutamate (Coconut Source), Sodium Cocoyl Sulfoacetate (Coconut Source), Sodium Cocoamphoacetate, Decyl Glucoside (Corn Source), Aloe Barbadensis Leaf Juice, Glycerin (Vegetable), Magnesium Ascorbyl Phosphate, Glycol Stearate, Carica Papaya Extract, Lemon Bioflavanoids, Cocos Nucifera (Coconut) Oil, , Cocos Nucifera (Coconut) Water, Citric Acid, Tocopherol Acetate, Panthenol, Napca, Allantoin, Nori Extract, Garcinia Mangostana Peel Extract (Mangosteen), Camellia Sinensis Leaf Extract (White Tea), Sea Algae Extract, Sodium Benzoate, Potassium Sorbate, Ethylhexylglycerin, Fragrance (All Natural).",5.00
Cleansing Micellar Water,Erborian,"Aqua/Water, Peg-7 Glyceryl Cocoate, Butylene Glycol, Polysorbate 20, Centella Asiatica Extract, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Theobroma Cacao (Cocoa) Extract, Trehalose, Dextrin, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Ethylhexylglycerin, Phenoxyethanol, CI 42090/Blue 1.",26.00
Prep Cicaronic Toning Essence,SNP,"Water, Dipropylene Glycol, Butylene Glycol, Glycereth-26, 1,2-Hexanediol, Propanediol, Glycereth-25 CA Isostearate, Glycerin, Ethylhexylglycerin, Diphenyl Dimethicone, Triethylhexanoin, Ammonium Acryloyldimethyltaurate/VP Copolymer, Disodium EDTA, Fragrance, Sodium Hyaluronate, Biosaccharide Gum-1, Polyglyceryl-10 Oleate, Hydrogenated Lecithin, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Panthenol, Fragaria Vesca (Strawberry) Leaf Extract, Centella Asiatica Leaf Extract, Centella Asiatica Extract, Thymus Vulgaris (Thyme) Leaf Extract, Salvia Officinalis (Sage) Leaf Extract, Origanum Majorana Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Melissa Officinalis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Lavandula Angustifolia (Lavender) Flower Extract, Madecassoside.",16.00
